county,county,fips_code,dem_2016,gop_2016,oth_2016,2016
CT,middlesex,09007,45306,38847,4249,2016
FL,lake,12069,62597,101888,5413,2016
NM,quay,35037,1016,2208,326,2016
TX,donley,48129,190,1225,45,2016
AR,hot spring,05059,3137,8153,525,2016
AL,perry,01105,3823,1403,29,2016
TN,williamson,47187,30992,68160,5548,2016
NV,mineral,32021,637,1179,181,2016
TN,hawkins,47073,3502,16611,581,2016
IN,washington,18175,2636,8206,491,2016
VA,arlington,51013,91879,20155,7310,2016
NC,jones,37103,2041,2941,57,2016
CO,moffat,08081,874,5293,343,2016
VA,montgomery,51121,20015,19455,3225,2016
TX,wheeler,48483,194,2087,25,2016
KS,comanche,20033,102,705,50,2016
TN,mcnairy,47109,1847,7839,349,2016
MI,iron,26071,2004,3675,231,2016
SD,brookings,46011,4879,6748,1053,2016
IN,warren,18171,839,2896,184,2016
KY,cumberland,21057,459,2502,100,2016
MO,cape girardeau,29031,8468,26939,1468,2016
ND,kidder,38043,179,1106,73,2016
AZ,la paz,04012,1318,3381,232,2016
NC,anson,37007,5785,4480,129,2016
TX,hartley,48205,172,1727,46,2016
FL,orange,12095,329579,195091,21130,2016
KY,hancock,21091,1244,2788,260,2016
OR,klamath,41035,7080,20170,1990,2016
WV,mineral,54057,2019,8957,434,2016
LA,vermilion parish,22113,4745,19807,701,2016
MI,missaukee,26113,1565,5386,350,2016
AR,cross,05037,1995,4577,259,2016
CT,windham,09015,21776,25738,3189,2016
MO,gentry,29075,605,2304,124,2016
MS,marion,28091,3572,7697,174,2016
NH,hillsborough,33011,99348,99873,10988,2016
IA,page,19145,1801,4875,292,2016
NC,orange,37135,59105,18373,2352,2016
TN,hancock,47067,322,1842,65,2016
KS,bourbon,20011,1306,4314,298,2016
CO,montrose,08085,5438,14303,1329,2016
IN,montgomery,18107,3362,11051,688,2016
GA,banks,13011,684,6130,132,2016
NM,lea,35025,3877,12306,1186,2016
WV,lewis,54041,1336,5245,304,2016
MO,dent,29065,978,5599,201,2016
MS,pontotoc,28115,2123,9442,246,2016
TX,chambers,48071,2939,13278,444,2016
NC,davie,37059,5228,15502,620,2016
NM,bernalillo,35001,141960,93874,34027,2016
FL,flagler,12035,21985,33804,1624,2016
MO,madison,29123,1005,4102,211,2016
NM,roosevelt,35041,1445,3865,545,2016
TX,hunt,48231,6301,23866,1018,2016
IN,madison,18095,18595,32376,2689,2016
TX,orange,48361,5716,25385,660,2016
MT,granite,30039,469,1185,108,2016
TX,bosque,48035,1277,6325,195,2016
KY,jefferson,21111,190824,143758,18196,2016
CA,alameda,06001,337524,64010,22983,2016
OK,nowata,40105,742,3321,174,2016
TX,garza,48169,224,1223,28,2016
KS,stafford,20185,303,1485,96,2016
MI,calhoun,26025,24154,31489,3143,2016
IA,davis,19051,976,2721,161,2016
MO,perry,29157,1520,6907,305,2016
TN,warren,47177,3535,9535,495,2016
PA,allegheny,42003,363017,257488,22668,2016
NY,orleans,36073,4327,11582,813,2016
AZ,yuma,04027,18336,20586,1837,2016
MS,perry,28111,1220,4135,77,2016
CT,new haven,09009,203601,158373,13935,2016
NM,san juan,35045,12826,27879,4771,2016
PA,wayne,42127,6398,15269,698,2016
KY,muhlenberg,21177,3272,9393,381,2016
UT,san juan,49037,1143,2073,554,2016
MI,clinton,26037,16490,21635,2439,2016
VA,danville city,51590,11051,7306,505,2016
KS,grant,20067,427,1755,129,2016
FL,monroe,12087,18949,21885,1600,2016
MO,carter,29035,436,2323,83,2016
AR,arkansas,05001,1939,3825,403,2016
OK,johnston,40069,782,3081,138,2016
NC,lenoir,37107,11752,13354,394,2016
TX,hays,48209,33117,33730,4677,2016
AZ,coconino,04005,25308,16573,3048,2016
KS,ottawa,20143,424,2261,181,2016
TX,swisher,48437,462,1671,57,2016
OR,wallowa,41063,1097,2825,255,2016
IA,humboldt,19091,1251,3564,218,2016
LA,saint helena parish,22091,3353,2497,114,2016
TX,grimes,48185,2194,7065,269,2016
OK,grady,40051,3878,17293,1086,2016
NE,jefferson,31095,831,2387,212,2016
OH,perry,39127,4072,9978,597,2016
TX,hutchinson,48233,854,7039,233,2016
GA,early,13099,2165,2552,65,2016
ID,latah,16057,8093,7255,2798,2016
WY,weston,56045,294,2898,142,2016
SD,gregory,46053,391,1600,100,2016
UT,morgan,49029,572,3156,1408,2016
LA,caldwell parish,22021,788,3822,82,2016
SD,buffalo,46017,296,171,23,2016
IA,monona,19133,1244,3115,166,2016
ID,bonner,16017,5140,10220,1455,2016
PA,northampton,42095,65936,71384,5455,2016
VA,martinsville city,51690,3531,2149,193,2016
OK,rogers,40131,7895,30893,2046,2016
WI,taylor,55119,2398,6589,430,2016
IL,perry,17145,2433,6816,457,2016
MN,cass,27021,4949,9982,954,2016
TX,shackelford,48417,103,1378,21,2016
TX,montgomery,48339,45744,150188,7151,2016
CA,stanislaus,06099,51171,52567,5844,2016
TN,campbell,47013,2248,9860,396,2016
MN,mcleod,27085,4978,12155,1551,2016
MT,custer,30017,1172,3638,335,2016
TX,gaines,48165,597,3907,105,2016
NM,torrance,35057,1770,3695,785,2016
NH,coos,33007,6558,7951,743,2016
TN,perry,47135,597,2167,91,2016
CA,ventura,06111,143095,101351,14992,2016
OK,murray,40099,1086,4173,266,2016
KS,washington,20201,378,2136,163,2016
TX,jefferson,48245,42404,42828,2131,2016
IN,hamilton,18057,57214,87299,9117,2016
IA,clay,19041,2246,5870,426,2016
TN,cannon,47015,1126,4006,167,2016
AL,dekalb,01049,3682,21779,625,2016
PA,juniata,42067,1810,8234,358,2016
MI,mason,26105,5281,8505,872,2016
NJ,bergen,34003,209251,163220,11494,2016
TX,bailey,48017,397,1343,44,2016
IL,calhoun,17013,739,1719,98,2016
OK,haskell,40061,882,3697,155,2016
MN,brown,27015,3763,8708,1192,2016
SC,lancaster,45057,13718,23598,1401,2016
KY,mclean,21149,988,3381,196,2016
LA,tensas parish,22107,1329,1180,34,2016
MS,pike,28113,7636,7748,249,2016
MA,nantucket,25019,4144,1892,368,2016
GA,worth,13321,2015,6144,107,2016
MI,mackinac,26097,2085,3740,263,2016
VA,henry,51089,8199,15207,623,2016
AL,blount,01009,2150,22808,426,2016
GA,washington,13303,4187,4138,97,2016
AZ,pima,04019,195649,147019,18094,2016
ND,dunn,38025,356,1753,90,2016
KY,boyd,21019,6021,13591,831,2016
CO,larimer,08069,92170,82624,19103,2016
VA,charlotte,51037,2153,3479,160,2016
MO,livingston,29117,1265,4879,264,2016
TX,marion,48315,1156,2968,82,2016
VA,king william,51101,2752,5963,373,2016
MS,lawrence,28077,2181,4072,76,2016
SC,pickens,45077,10327,36096,2448,2016
KY,breathitt,21025,1537,3991,200,2016
VA,charlottesville city,51540,17865,2951,1395,2016
IL,washington,17189,1446,5566,364,2016
MO,moniteau,29135,1237,5344,227,2016
MD,allegany,24001,6665,20025,1114,2016
MN,chisago,27025,9279,18441,2289,2016
MO,ripley,29181,830,4520,168,2016
TX,shelby,48419,1757,7171,144,2016
IL,vermilion,17183,9876,18582,1341,2016
TX,cass,48067,2250,9182,174,2016
MI,ionia,26067,8206,16374,1784,2016
MI,lake,26085,1939,3159,230,2016
IL,henderson,17071,1151,2153,176,2016
OH,crawford,39033,4518,13265,919,2016
KY,henderson,21101,6707,12159,826,2016
GA,treutlen,13283,860,1808,32,2016
LA,east carroll parish,22035,1838,1059,42,2016
UT,davis,49011,20206,41250,30366,2016
GA,telfair,13271,1313,2449,32,2016
VA,wise,51195,2687,11983,321,2016
TX,bowie,48037,8831,24913,726,2016
TX,jasper,48241,2582,10578,191,2016
TN,haywood,47075,3704,3010,110,2016
AL,dale,01045,4408,13798,411,2016
OK,pontotoc,40123,3633,10420,761,2016
LA,claiborne parish,22027,2717,3585,119,2016
MO,chariton,29041,888,2948,126,2016
SC,kershaw,45055,10293,17464,1118,2016
VA,augusta,51015,8108,26152,2401,2016
CA,santa clara,06085,406049,116196,31091,2016
MO,crawford,29055,1824,7724,372,2016
OH,ashtabula,39007,15191,22755,1863,2016
GA,lanier,13173,805,1984,72,2016
GA,jeff davis,13161,901,4102,86,2016
IN,dekalb,18033,3941,12054,821,2016
PA,lycoming,42081,12926,35475,1893,2016
TX,houston,48225,1978,6205,119,2016
ND,morton,38059,3077,11319,1151,2016
PA,indiana,42063,11468,24920,1340,2016
OH,warren,39165,33036,75947,5271,2016
NE,phelps,31137,571,3832,206,2016
PA,dauphin,42043,64287,60620,5253,2016
KS,johnson,20091,126324,133907,19522,2016
MA,barnstable,25001,71632,53842,7193,2016
IA,greene,19073,1688,2819,255,2016
CA,imperial,06025,14331,5607,920,2016
IA,fayette,19065,3666,5591,556,2016
NC,alamance,37001,29268,38235,1761,2016
IN,henry,18065,5124,13895,1056,2016
MI,kalkaska,26079,2279,6213,428,2016
ID,power,16077,699,1666,393,2016
SD,codington,46029,3174,7764,731,2016
SD,stanley,46117,329,1148,90,2016
OK,ottawa,40115,2584,7627,475,2016
OH,madison,39097,4662,11319,773,2016
SC,spartanburg,45083,39888,76101,4804,2016
CO,ouray,08091,1690,1337,260,2016
NC,guilford,37081,147949,97461,6677,2016
ID,payette,16075,892,4306,505,2016
IL,bureau,17011,6010,9264,1029,2016
AR,fulton,05049,1067,3470,207,2016
MT,missoula,30063,30740,21699,4832,2016
AL,hale,01065,4772,3172,66,2016
TX,crockett,48105,372,980,43,2016
GA,glascock,13125,138,1235,17,2016
AL,monroe,01099,4310,5771,104,2016
MT,beaverhead,30001,1115,3243,318,2016
IL,saint clair,17163,60180,53479,5542,2016
MO,nodaway,29147,2529,6379,531,2016
AR,sharp,05135,1472,5405,313,2016
WV,brooke,54009,2549,6574,417,2016
KY,kenton,21117,24213,42958,4734,2016
TX,kaufman,48257,10265,29537,1177,2016
ID,valley,16085,1913,2906,530,2016
MI,berrien,26021,29496,38646,3740,2016
NY,saint lawrence,36089,14659,18450,2045,2016
NC,watauga,37189,13953,13521,1295,2016
NY,wayne,36117,12378,21935,2285,2016
CO,costilla,08023,1109,581,130,2016
IL,effingham,17049,3071,13613,744,2016
VA,fairfax,51059,354485,157837,30536,2016
OH,adams,39001,2293,8445,325,2016
IL,montgomery,17135,3490,8616,723,2016
NY,essex,36031,6760,7275,1044,2016
FL,franklin,12037,1738,4119,146,2016
OH,miami,39109,12832,36311,2324,2016
WA,klickitat,53039,3196,4436,500,2016
OR,columbia,41009,9959,12967,2151,2016
AL,montgomery,01101,58669,33928,1975,2016
MO,cedar,29039,1010,5019,249,2016
IL,lake,17097,168186,108608,16780,2016
AR,chicot,05017,2350,1716,83,2016
GA,emanuel,13107,2433,5330,75,2016
MN,meeker,27093,3192,8103,903,2016
IL,dupage,17043,222499,164355,26075,2016
MI,muskegon,26121,36640,35962,4512,2016
NY,tompkins,36109,25555,9647,2545,2016
KY,graves,21083,3308,12671,603,2016
TX,martin,48317,266,1453,36,2016
CA,monterey,06053,47387,19580,3894,2016
GA,rockdale,13247,23206,13463,920,2016
GA,evans,13109,1130,2404,68,2016
MO,jasper,29097,10565,35058,2556,2016
OK,custer,40039,2102,7818,611,2016
LA,acadia parish,22001,5638,21159,589,2016
PA,warren,42123,4828,12032,764,2016
WV,taylor,54091,1483,4701,314,2016
TX,wilson,48493,4790,13991,474,2016
WI,iron,55051,1273,2090,114,2016
NC,macon,37113,4841,12035,460,2016
AR,pope,05115,4818,15694,1033,2016
AL,wilcox,01131,4329,1737,29,2016
GA,habersham,13137,2483,13184,461,2016
CO,phillips,08095,436,1791,105,2016
PA,blair,42013,13093,37224,1712,2016
AR,faulkner,05045,14525,29170,2669,2016
AR,union,05139,5667,10201,470,2016
KS,anderson,20003,665,2386,226,2016
MT,blaine,30005,1187,1259,175,2016
NE,howard,31093,544,2284,130,2016
WI,kenosha,55059,35770,36025,4030,2016
TX,liberty,48291,4851,18856,448,2016
SC,edgefield,45037,4491,6842,311,2016
ND,mckenzie,38053,696,3661,237,2016
NJ,somerset,34035,83839,64640,5770,2016
NV,elko,32007,3400,13542,1603,2016
